forecast_id,origin_date,capture_time_utc,spot_date,horizon_days,due_date,model,spot,predicted_log_return,forecast_price,p_up,status,actual_price,actual_log_return,actual_up,source
2026-09-14::7::price_macro_ridge,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,7,2026-09-21,price_macro_ridge,78189.21,-0.0240216828646846,76333.353236547,0.397982223789678,COMPLETE,86620.0,0.10239907729490945,1.0,scheduled_frozen_shadow_v1
2026-09-14::7::primary_equal_weight_ensemble,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,7,2026-09-21,primary_equal_weight_ensemble,78189.21,-0.0200474190973515,76637.3257499292,0.4156104755488777,COMPLETE,86620.0,0.10239907729490945,1.0,scheduled_primary_price_cycle_v2
2026-09-14::30::price_ridge,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,30,2026-10-14,price_ridge,78189.21,0.0357671878803405,81036.43321890141,0.5725328961838401,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-14::30::price_macro_ridge,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,30,2026-10-14,price_macro_ridge,78189.21,-0.0717179036368499,72778.00313856849,0.3569620682202932,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-14::30::primary_equal_weight_ensemble,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,30,2026-10-14,primary_equal_weight_ensemble,78189.21,0.0152587162284198,79391.42577646062,0.5293881182495498,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-14::90::price_ridge,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,90,2026-12-13,price_ridge,78189.21,0.1467548005486451,90548.57608625817,0.6562222197261722,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-14::90::price_macro_ridge,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,90,2026-12-13,price_macro_ridge,78189.21,-0.2073862842987757,63544.81304191004,0.2849046866143999,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-14::90::primary_equal_weight_ensemble,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,90,2026-12-13,primary_equal_weight_ensemble,78189.21,0.0400639957746439,81385.38034739956,0.5408062895768944,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-14::180::price_ridge,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,180,2027-03-13,price_ridge,78189.21,0.2832733108870509,103793.66825266588,0.7027176328011375,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-14::180::price_macro_ridge,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,180,2027-03-13,price_macro_ridge,78189.21,0.1024486688484935,86624.29572688646,0.5763197868890398,PENDING,,,,scheduled_frozen_shadow_v1
